26,80
7,50
2,97
17,62
14,53
4,71
3,102
27,27
9,69
5,96
10,95
11,174
15,20
20,75
6,84
16,47
1,210
13,70
18,22
8,28
30,19
28,51
19,77
25,7
23,39
22,14
21,39
24,29
12,58
29,20
0,46
31,66
32,92
48,18
53,114
33,29
35,10
38,43
39,80
40,56
41,29
37,18
45,25
46,8
43,51
42,17
47,25
49,38
52,301
50,105
34,69
54,10
51,15
56,18
57,9
55,16
58,21
60,4
61,13
59,9
62,145
63,26
36,59
44,35
65,38
75,78
91,11
72,17
70,20
71,5
73,56
66,85
74,349
78,70
77,3
76,12
80,14
68,1
79,45
64,317
84,111
81,134
83,41
82,112
85,21
86,6
89,28
87,13050
92,50
88,55
90,67
94,1
95,81
93,412
67,21
69,56
97,47
96,156
124,121
112,27
114,334
115,5
98,133
113,489
119,64
118,18
117,164
104,35
120,57
103,33
108,70
110,176
111,45
109,63
105,89
126,86
127,72
116,89
121,96
123,63
100,41
122,66
101,143
106,151
99,37
125,164
102,59
107,40
129,96
139,1
151,44
130,38
134,339
132,81
136,29
138,61
137,33
135,176
140,67
142,54
141,11
144,38
143,79
145,25
148,36
146,63
128,51
147,72
149,26
150,63
153,1
152,0
154,50
156,6
155,8
158,76
157,2
159,23
131,129
133,97
161,218
176,45
177,99
190,138
165,32
167,86
170,25
160,16
169,63
164,37
181,99
175,1
180,151
162,32
182,54
178,7
183,34
184,29
187,15
166,30
188,41
186,284
189,139
191,40
179,115
168,227
171,168
172,2
163,1
185,72
173,1
174,23
194,56
200,9
214,25
217,1
210,97
204,307
202,118
192,38
196,44
209,29
198,74
203,34
205,30
197,90
212,1
199,69
206,15
213,37
195,74
207,39
220,25
201,58
211,41
219,53
215,28
193,38
216,9
218,41
223,465
221,30
222,82
208,73
226,43
230,13
242,706
224,36
225,7
232,32
228,31
231,2
233,192
234,26
236,16
235,66
238,221
237,81
240,17
243,20
245,25
244,1
246,33
227,18
249,42
239,249
248,50
247,32
251,76
241,23
252,14
253,72
254,97
255,42
229,101
250,54
256,7
268,0
273,157
280,33
285,94
264,0
262,1
263,1
265,54
266,27
267,3
270,30
269,54
257,8
272,0
271,36
274,93
276,13
277,2
275,17
258,13
278,34
279,14
281,50
259,2
282,202
284,167
283,99
287,10
286,47
260,0
261,5
288,69
301,3
313,53
290,14
294,28
296,0
295,57
298,40
289,21
293,84
299,16
300,58
302,23
304,149
303,3
305,10
308,5
307,1
311,19
291,48
306,1
309,2
316,4
292,62
314,1
318,2
315,1
317,1
310,68
319,36
312,11
297,30
320,8
332,14
334,0
340,112
342,0
349,155
325,19
326,9
329,16
330,2
331,3
321,26
333,0
323,2
336,61
335,5
337,72
324,1
339,334
338,208
341,83
343,212
345,48
344,3
328,13
346,42
348,46
347,0
350,60
351,304
327,6
322,1
352,386
369,20
377,55
379,40
383,48
381,69
360,0
361,52
362,210
364,58
366,116
368,164
363,86
357,25
372,51
374,7
359,65
354,51
373,6
375,15
365,0
371,188
380,33
353,21
382,21
367,141
370,21
376,21
378,7
355,27
358,33
356,12
384,70
395,0
401,11
407,10
412,0
392,8
391,15
393,20
394,128
396,20
386,8
389,7
397,3
399,10
400,18
404,9
403,9
402,7
405,25
387,92
406,1
409,9
388,11
411,45
413,19
414,1
408,8
415,21
390,27
410,8
398,6
385,328
416,1
429,4
437,12
418,29
443,34
420,78
422,33
435,0
442,169
447,117
427,6
430,1
432,6
433,57
434,71
436,16
423,10
417,45
431,0
438,125
441,69
439,130
440,36
444,33
446,32
419,35
424,2
428,4
425,7
426,16
421,35
445,6
449,64
458,34
462,12
473,40
476,10
452,257
463,4
455,134
456,78
477,1
459,46
450,72
460,8
461,14
464,63
448,94
465,26
467,25
468,38
469,21
466,19
470,26
471,18
472,36
474,71
451,41
478,50
479,20
454,293
453,46
457,86
475,2
481,1
496,17
485,54
499,41
510,3
488,170
498,70
492,54
489,4
507,31
497,3
490,88
491,32
506,47
482,40
502,102
500,35
503,1
501,388
495,52
505,31
508,6
493,42
486,45
504,27
484,248
511,0
509,3
480,21
494,8
487,58
483,204
513,23
522,101
525,59
540,32
515,27
516,15
518,104
520,6
519,2
536,85
521,10
524,25
512,29
526,147
528,148
529,52
527,28
514,12
531,72
530,0
533,42
532,42
534,112
535,59
537,111
539,30
538,33
542,59
541,55
543,283
517,6
523,40
545,27
555,4
549,54
547,116
550,139
552,43
548,79
553,46
551,61
554,127
556,133
561,29
558,43
560,56
557,33
564,9
565,30
562,38
563,8
559,93
544,87
566,194
567,19
569,48
572,39
574,80
573,30
575,460
571,2
546,1
568,52
570,91
576,893
587,25
593,12
598,19
580,1
607,16
583,37
584,14
586,21
585,8
590,38
581,38
591,82
589,34
592,25
595,50
579,128
596,14
597,90
594,68
599,1
601,21
600,33
578,92
603,67
604,11
602,28
606,100
605,58
582,40
588,26
577,75
609,44
620,14
629,113
611,33
638,693
613,32
616,50
617,26
618,121
622,163
610,13
624,135
625,13
615,160
628,43
630,13
619,18
633,6
631,16
627,132
621,136
623,109
636,28
626,295
608,45
632,18
614,34
634,60
635,1
639,77
637,73
612,59
640,18
654,1
649,1
666,44
671,16
645,6
648,13
650,0
652,11
647,10
656,164
642,10
657,84
660,207
653,11
662,21
661,50
651,10
665,5
641,1
663,79
664,80
658,5
655,11
659,71
668,69
670,33
667,116
643,13
669,44
646,10
644,10
673,52
686,71
697,29
678,8
679,42
676,50
682,39
684,5
689,103
688,21
693,42
674,35
692,51
681,59
696,66
695,136
700,0
677,117
680,103
685,19
687,9
701,8
675,39
672,27
694,32
703,25
690,28
702,27
699,1
698,35
683,85
691,52
705,41
718,10
722,4
731,7
735,53
710,14
712,3
714,22
713,112
720,0
721,9
706,7
730,27
725,44
726,52
724,16
715,15
719,21
717,10
728,253
727,36
729,14
734,6
732,48
723,3
704,35
733,25
707,0
709,56
708,63
716,50
711,67
736,15
743,21
753,16
759,35
764,16
762,108
744,18
746,4
748,40
750,28
737,8
752,10
747,13
749,16
738,25
758,117
751,26
760,10
761,29
755,14
739,50
766,33
763,13
740,9
765,10
741,32
757,8
742,14
767,12
756,18
745,24
754,66
768,39
784,17
791,6
796,0
772,37
774,121
773,16
776,13
775,5
778,20
777,0
780,0
779,6
782,0
781,8
783,55
785,0
787,3
788,61
769,29
790,6
786,12
789,15
792,29
770,45
793,1
795,78
794,0
797,68
798,3
771,12
799,6
801,2
812,33
816,14
813,16
831,28
804,15
810,5
828,2
805,6
811,25
814,1
807,149
803,19
817,17
822,35
821,106
800,45
823,14
825,14
815,87
824,45
819,5
802,9
820,53
830,1
818,2
827,10
829,24
826,13
808,4
806,15
809,30
832,4
844,13
851,3
856,7
859,10
838,85
837,6
839,10
840,2
842,8
841,11
846,6
843,2
845,9
848,8
834,9
849,1
850,72
852,17
853,2
854,155
833,7
855,33
857,46
858,26
835,33
860,3
862,3
861,93
863,9
836,46
847,0
865,22
878,33
892,36
888,46
882,24
870,1
872,3
893,22
874,11
880,1
885,47
884,15
886,48
889,29
867,26
